fit_date,forecast_start,forecast_end,mu,omega,alpha[1],gamma[1],beta[1],nu
2012-01-03,2012-01-04,2012-02-02,0.15347867087984202,0.11998208720423134,0.24208976729512435,-0.1415192086111838,0.8750197339028685,7.620006655338991
2012-02-02,2012-02-03,2012-03-05,0.17967400801461794,0.12402891410641775,0.2318609090069942,-0.15986457788074446,0.8639802752072864,6.892944128174738
2012-03-05,2012-03-06,2012-04-03,0.19914678340729247,0.12125160126626414,0.2450623000393099,-0.1358970747873705,0.8704632059471687,7.203800138192834
2012-04-03,2012-04-04,2012-05-03,0.20050836559995586,0.14577218576048104,0.2318498232378361,-0.13778591985496225,0.8491736612249727,7.598697973298386
2012-05-03,2012-05-04,2012-06-04,0.1740112008292205,0.13173175734251386,0.18979995820940915,-0.14702370798630743,0.8614520213784651,7.861805240633708
2012-06-04,2012-06-05,2012-07-03,0.16563931076123056,0.14223500096754066,0.17741952261465851,-0.14719435816468424,0.8498821073567766,7.303150799268726
2012-07-03,2012-07-05,2012-08-02,0.17582246290398904,0.1435909496992578,0.18027404213076173,-0.15002519727744323,0.84205545916408,7.283413310028147
2012-08-02,2012-08-03,2012-08-31,0.17580691147717145,0.1404756406993656,0.1733665460285182,-0.1452992688538626,0.8487013642678,6.800645062437331
2012-08-31,2012-09-04,2012-10-02,0.1998891002080947,0.14306678593587585,0.20035457388328584,-0.1483357484148134,0.8404445973065103,7.24436260333757
2012-10-02,2012-10-03,2012-11-02,0.1770564720085894,0.14324663928323508,0.2080857920557601,-0.14489080690399606,0.842044271963452,7.237133187657039
2012-11-02,2012-11-05,2012-12-04,0.14418516792429192,0.1435333677284808,0.22832539139773042,-0.16115406798950296,0.8445195487416793,9.047640063404053
2012-12-04,2012-12-05,2013-01-04,0.13815103835949974,0.1057791128434078,0.1862360128278632,-0.14032683654475522,0.8945625021785909,7.788686572194301
2013-01-04,2013-01-07,2013-02-05,0.12333539306109392,0.19136252631678421,0.12276490314194625,-0.1835069394634634,0.8185330836151371,7.553102715637272
2013-02-05,2013-02-06,2013-03-07,0.10942784637771569,0.18243789563008272,0.07741039837282099,-0.16729301484282524,0.8419660534457444,5.556406580360755
2013-03-07,2013-03-08,2013-04-08,0.0779788528238731,0.18339482807898635,0.07418025664164578,-0.16018999987877341,0.8430562319435032,5.711099159932346
2013-04-08,2013-04-09,2013-05-07,0.08617691830142248,0.16262323054796765,0.05914217987376686,-0.1500818727232309,0.8615098800185593,5.80623716783494
2013-05-07,2013-05-08,2013-06-06,0.10759784582608461,0.16832326966505648,0.0380867562054032,-0.15325194601568048,0.8596700965101511,5.799638689363802
2013-06-06,2013-06-07,2013-07-08,0.10735232902586224,0.19112007751968946,0.028769737947889448,-0.16816580437028084,0.8394897158160922,5.9415955628962065
2013-07-08,2013-07-09,2013-08-06,0.09050751046392283,0.17826824539671426,0.04258263957261524,-0.15990704635593686,0.8506689221841442,5.603830667614384
2013-08-06,2013-08-07,2013-09-05,0.08407300101438903,0.15707124185318422,0.029405134473305707,-0.16606304322461538,0.8620936666844664,5.658930466884321
2013-09-05,2013-09-06,2013-10-04,0.09461864112981548,0.15844395240602036,0.018537318211031918,-0.1573939432505912,0.8609631236950719,5.202906178660867
2013-10-04,2013-10-07,2013-11-04,0.08868165398425458,0.16959779557502314,0.01989462468571172,-0.16350473310640196,0.8544235515174582,5.033142476649528
2013-11-04,2013-11-05,2013-12-04,0.10288683604912341,0.17759252321746066,0.019083371891415266,-0.18347045838693357,0.8387419614092685,5.4046308799131175
2013-12-04,2013-12-05,2014-01-06,0.12579677541462891,0.1382641104202828,0.039547853984535954,-0.15291310159142438,0.8750325402917003,5.050866211196827
